RANK,NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
53,Dwyane Wade,Mia,SG,36,5,25.5,53.1,32.5,0.119,26,0.808,66,0.47,4,0,0.443,0.51,16.6,4.2,9.2,3.6,25.5,1.4,0.2,2.2,9.9,100.5,108.4
54,Ed Davis,Por,PF,28,4,17.7,36.9,9.8,0.254,4,0.25,10,0.5,0,0,0.5,0.468,2.8,8,24.6,0,0,0,0.25,1,0,83.1,106.7
55,Ekpe Udoh,Uta,PF,30,6,3.5,7.2,8.1,0.266,4,0,1,1,0,0,1,0.362,0.3,0.5,8.1,0,0,0,0.33,0.17,0,,
56,Emeka Okafor,Nor,C,35,1,3.6,7.5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57,Eric Bledsoe,Mil,PG,28,7,32.1,66.9,21.8,0.139,20,0.7,62,0.484,22,0.318,0.482,0.512,13.6,3.4,6.3,3.7,17.6,1,0.86,2.14,6.9,97.1,105.8
58,Eric Gordon,Hou,SG,29,17,32.3,67.3,21.9,0.088,61,0.836,91,0.451,130,0.331,0.477,0.529,15.4,2.6,4.6,1.6,7.9,0.59,0.47,1.41,5,94.6,108.6
59,Ersan Ilyasova,Phi,PG,30,10,23.3,48.6,18.9,0.097,21,0.571,53,0.509,31,0.29,0.482,0.499,9.3,7.6,17.5,1.3,8.1,0.7,0.5,1,7.7,102,96.7
60,E'Twaun Moore,Nor,SG,28,9,31.6,65.8,16.1,0.104,16,0.688,63,0.508,25,0.36,0.517,0.537,11.3,2.4,4.2,1.7,7.2,0.67,0.11,1.22,4.5,98.2,107.3
61,Evan Turner,Por,SG,29,3,28.9,60.1,20.2,0.15,2,1,26,0.385,7,0.286,0.394,0.413,9.3,4,7.6,3.3,17,1,0.33,2,6.9,90.3,111
62,Fred VanVleet,Tor,PG,23,6,19.1,39.7,17.9,0.086,8,0.875,11,0.455,28,0.286,0.436,0.482,6.8,1.7,4.9,2.2,15.5,0,0,0.67,6.2,99.2,115
63,Furkan Korkmaz,Phi,SG,20,1,1.6,3.3,26.6,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,0,0,0,,
64,George Hill,Cle,PG,31,19,29.3,61.1,14.1,0.125,53,0.774,80,0.538,51,0.314,0.511,0.567,9.2,2.2,4.2,2.2,10.5,0.53,0.42,1.16,4.8,98.6,106.5
65,Gerald Green,Hou,SG,32,17,16,33.3,17.4,0.093,7,0.857,22,0.455,72,0.375,0.537,0.551,6.3,2.9,10.3,0.1,0.6,0.24,0.41,0.59,3.1,91.6,101.2
66,Giannis Antetokounmpo,Mil,PF,23,7,40,83.4,26.3,0.105,55,0.691,107,0.607,14,0.286,0.587,0.62,25.7,9.6,14,6.3,27.4,1.57,0.86,2.43,11.6,120.9,99.3
67,Glenn Robinson III,Ind,SG,24,2,2.8,5.8,8,0,0,0,1,1,0,0,1,1,1,0.5,10.1,0,0,0,0,0,0,,
68,Goran Dragic,Mia,PG,31,5,31.3,65.2,28.8,0.149,22,0.682,55,0.491,21,0.381,0.513,0.543,18.6,2.6,4.7,4.6,25.7,1,0,3,7.7,101.1,111.4
69,Gorgui Dieng,Min,PF,28,5,14.1,29.3,13.1,0.048,4,0.75,13,0.308,5,0.4,0.389,0.43,3.4,3.6,14.7,0.8,7.5,0.4,0.8,0.2,6.1,99.6,106.7
70,Greg Monroe,Bos,C,27,11,9.5,19.8,26.5,0.227,22,0.682,38,0.5,0,0,0.5,0.556,4.8,3.2,18.5,0.5,7.9,0.18,0.18,1.27,8.3,89.8,99.7
71,Guerschon Yabusele,Bos,PF,22,12,4,8.3,10.5,0,5,0.4,3,0.333,6,0,0.111,0.179,0.3,0.9,12.7,0.3,8.2,0.17,0,0,4.3,63.6,87.5
72,Hassan Whiteside,Mia,C,28,5,15.4,32.1,21.9,0.318,13,0.615,20,0.45,0,0,0.45,0.505,5.2,6.2,22.5,0.2,1.9,0,1.2,2.4,4.8,81.8,93.1
73,Ian Clark,Nor,SG,26,9,21.1,43.9,17.5,0.117,4,1,38,0.474,28,0.357,0.5,0.517,7.8,1.1,2.8,1.2,7.9,0.89,0.22,1,4.1,91.7,102.7
74,Ian Mahinmi,Was,C,31,6,8.7,18.1,16.8,0.05,11,0.909,14,0.714,0,0,0.714,0.796,5,1.8,12,0.2,3,0.67,0.83,0.17,5.6,159.2,92
75,Jabari Parker,Mil,SF,22,7,23.9,49.8,20,0.081,13,0.615,43,0.512,19,0.316,0.5,0.517,10,6.1,15.1,1.4,9.2,1,0.71,0.86,7.4,103.2,100.4
76,Jae Crowder,Uta,PG,27,11,29.4,61.2,18.7,0.104,28,0.643,42,0.31,66,0.333,0.426,0.457,10,5.1,9.8,1.7,8.6,1.36,0.18,1.27,6,86.7,100.5
77,Jake Layman,Por,SF,23,1,7.9,16.5,16.7,0,0,0,3,1,0,0,1,1,6,1,6.9,1,28.9,2,0,0,9.2,202.8,104.5
78,Jakob Poeltl,Tor,C,22,9,15.5,32.4,14.9,0.169,19,0.789,30,0.567,1,0,0.548,0.622,5.4,4,14.5,0.7,5.9,0.33,0.44,0.89,6.4,117.8,99.9
79,Jamal Crawford,Min,SG,37,5,24.6,51.3,20.8,0.087,13,0.769,30,0.467,17,0.412,0.521,0.56,11.8,2.6,6.1,2.4,14.4,1,0,1,6.8,110.3,113.5
80,James Harden,Hou,PG,28,17,36.5,76.1,36.3,0.128,133,0.887,211,0.502,174,0.299,0.478,0.548,28.6,5.2,8.1,6.8,34.4,2.24,0.65,3.82,11,99.5,101.9
81,James Johnson,Mia,PF,30,5,32.1,66.9,16.2,0.172,14,0.643,29,0.552,13,0.538,0.631,0.644,12.4,6,10.5,4.8,22.9,1.2,1.2,2,8.8,117.6,106
82,Jason Smith,Was,C,31,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
83,Jason Terry,Mil,SG,40,3,14.6,30.3,6.2,0.167,0,0,0,0,5,0.4,0.6,0.6,2,1,4,0.7,5.9,0.33,0,0.33,3.1,112.5,112.7
84,JaVale McGee,Gol,C,30,13,12.2,25.4,18.7,0.075,9,0.667,57,0.684,1,0,0.672,0.678,6.5,3.2,14.8,0.3,4,0.23,0.85,0.38,6,120.4,93.9
85,Jaylen Brown,Bos,SF,21,18,32.4,67.5,24,0.074,50,0.64,154,0.519,112,0.393,0.549,0.563,18,4.9,8.3,1.4,7.8,0.78,0.56,1.28,6.1,96.6,99.8
86,Jayson Tatum,Bos,SF,19,19,35.9,74.9,22.7,0.119,97,0.845,190,0.526,71,0.324,0.515,0.578,18.5,4.4,6.7,2.7,12.6,1.21,0.58,2.16,6.7,98.1,102.6
87,Jeff Green,Cle,SF,31,22,23.8,49.6,15.3,0.095,46,0.717,72,0.514,70,0.3,0.482,0.524,7.7,2.4,5.8,1.5,8.6,0.32,0.68,0.77,5.1,91.6,108.6
88,Jeff Teague,Min,PG,29,5,30.6,63.8,21,0.193,17,0.706,33,0.485,18,0.389,0.52,0.556,13,3.6,6.8,5.8,27.2,0.6,0.4,2.8,8.5,104.7,106.1
89,Jerami Grant,Okc,SF,23,6,22.1,46.1,14.8,0.131,11,0.455,27,0.593,8,0.25,0.543,0.54,7.2,3.5,8.7,1,6.6,0.67,0.5,1,5.3,105,101.8
90,Jerryd Bayless,Phi,PG,29,1,1.7,3.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
91,Jimmy Butler,Min,SF,28,5,34.1,71,19.7,0.066,18,0.833,46,0.435,17,0.471,0.508,0.557,15.8,6,10.1,4,17.2,0.8,0.2,1,8.5,116.2,112.5
92,JJ Redick,Phi,SG,33,10,34.2,71.3,20.5,0.067,42,0.857,60,0.567,75,0.347,0.541,0.593,18.2,1.5,2.4,2.6,11.4,0.8,0.1,1.1,4.8,115.3,106.8
93,Joe Ingles,Uta,SF,30,11,34.8,72.4,18.1,0.168,17,0.647,44,0.5,77,0.455,0.616,0.623,14.5,4.4,7.1,3.4,15,0.55,0.18,2.36,6.9,104.5,104
94,Joe Johnson,Hou,SF,36,8,6.7,14,16.4,0.15,0,0,14,0.429,3,0,0.353,0.353,1.5,1.3,10.4,0.4,8.1,0,0.13,0.38,5.5,60.8,104.4
95,Joe Young,Ind,PG,25,1,2.7,5.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
96,Joel Embiid,Phi,C,23,8,34.8,72.4,29.7,0.15,61,0.705,109,0.477,29,0.276,0.464,0.519,21.4,12.8,19.7,3,13.8,0.88,1.88,3.63,10.8,95.7,94.8
97,Joffrey Lauvergne,San,C,26,1,5.9,12.3,7.6,0,0,0,1,1,0,0,1,1,2,1,9.4,0,0,0,0,0,0,200,116.8
98,John Henson,Mil,C,27,2,37.1,77.3,10.9,0.224,2,0.5,13,0.692,0,0,0.692,0.684,9.5,6,9.5,2.5,9.6,0,3.5,2,5.6,118.1,110.7
99,John Wall,Was,PG,27,6,39.1,81.4,32.9,0.155,47,0.851,106,0.491,21,0.19,0.457,0.528,26,5.5,8,11.5,50.2,2.17,1.33,4.5,12.1,106.5,107.5
100,Jonas Jerebko,Uta,PF,30,10,7.9,16.4,11.9,0.048,2,1,13,0.538,6,0.167,0.447,0.478,1.9,1.6,11.4,0.3,5.5,0.3,0,0.1,4.9,103.3,97.3
101,Jonas Valanciunas,Tor,C,25,10,24.5,50.9,25.4,0.135,34,0.824,102,0.549,5,0.4,0.551,0.599,14.6,10.5,24.3,1.2,8,0.4,1.5,1.9,9.3,112,106.3
102,Jordan Bell,Gol,PF,23,17,10.2,21.3,11.2,0.136,14,0.5,31,0.548,1,0,0.531,0.537,2.4,2.8,15.1,0.9,11,0.35,0.53,0.35,7.1,108.4,94.9
103,Jordan Clarkson,Cle,SG,25,19,15,31.3,21.7,0.094,6,0.833,77,0.338,46,0.239,0.346,0.358,4.7,1.7,6.4,0.7,6.6,0.42,0.16,0.68,4.7,64.2,107.3
104,Jordan Crawford,Nor,SG,29,2,7.7,15.9,45.2,0.188,0,0,5,1,8,0.375,0.731,0.731,9.5,2,14.1,0.5,18.4,0.5,0,1.5,11,84.9,99.9
105,Jose Calderon,Cle,PG,36,13,8,16.7,13.6,0.157,2,1,8,0.625,18,0.222,0.423,0.446,1.8,0.8,6,0.7,11.7,0.38,0,0.38,5,77.9,97.7
106,Josh Huestis,Okc,SF,26,4,4.8,10.1,6.4,0,2,0.5,2,0.5,0,0,0.5,0.521,0.8,0.8,8.6,0,0,0.25,0.25,0,0,109,93.7
107,Josh Richardson,Mia,SG,24,5,25.9,54,16.6,0.104,7,0.857,21,0.429,19,0.316,0.45,0.487,8.4,3,6.5,2.8,15.8,2.2,1,1,6.4,102.8,104.1
108,JR Smith,Cle,SG,32,22,32.1,66.9,13.6,0.084,22,0.773,67,0.313,120,0.367,0.465,0.486,8.7,2.6,4.7,1.1,4.8,0.95,0.18,0.82,3.6,83,107.1
109,Jrue Holiday,Nor,PG,27,9,38.7,80.7,25.6,0.112,30,0.7,120,0.6,50,0.32,0.565,0.581,23.7,5.7,7.9,6.3,26.1,1.11,0.67,2.56,9.8,109.3,106
110,Justin Anderson,Phi,SF,24,7,4.7,9.8,13,0.2,0,0,1,1,7,0.286,0.5,0.5,1.1,1.3,14.8,0,0,0.14,0,0.29,0,77.5,81.1
111,Justise Winslow,Mia,SF,21,5,25,52,20.6,0.139,17,0.706,23,0.348,19,0.368,0.44,0.495,9.8,6.6,14.8,2.6,15.4,0.8,0.8,1.6,8.8,100.2,101.5
112,Jusuf Nurkic,Por,C,23,4,23.4,48.7,22,0.064,11,0.818,39,0.487,0,0,0.487,0.536,11.8,8,18.7,1,7,1.5,1.25,0.75,7.8,117.4,99.6
113,Karl-Anthony Towns,Min,C,22,5,33.9,70.7,21.4,0.146,23,0.739,49,0.51,11,0.273,0.492,0.542,15.2,13.4,22.7,2.2,9.5,0.4,1,2.4,9,105.6,105.7
114,Kelly Olynyk,Mia,C,26,5,29.2,60.9,18.6,0.132,20,0.7,25,0.52,19,0.421,0.568,0.606,12.8,4.6,8.8,3.8,19.9,1.4,1.2,1.6,8.3,118.4,105.1
115,Kelly Oubre Jr.,Was,SF,22,6,24.7,51.5,18.1,0.082,18,0.889,29,0.483,19,0.211,0.417,0.501,9.3,3.8,8.8,0.7,3.8,1,0.5,0.83,4.7,98.1,103.6
116,Kevin Durant,Gol,SF,29,21,38.4,80.1,30.1,0.091,152,0.901,297,0.556,138,0.341,0.541,0.606,29,7.7,11.2,4.7,19.8,0.71,1.14,2.38,10.6,104.2,101.6
117,Kevin Love,Cle,PF,29,21,31.4,65.5,23.5,0.118,64,0.922,172,0.424,106,0.34,0.457,0.511,14.9,10.2,18.5,1.6,7.8,0.71,0.38,1.95,8,89.5,101.5
118,Kevon Looney,Gol,PF,21,21,18.4,38.4,10.3,0.089,21,0.381,71,0.549,2,0,0.534,0.523,4.1,4.3,13,1,6.6,0.71,0.38,0.38,5.7,113.3,93.9
119,Khris Middleton,Mil,PF,26,7,39.3,82,22.5,0.117,19,0.737,71,0.592,41,0.61,0.71,0.719,24.7,5.1,7.7,3.1,13.9,0.86,0.71,2.29,7.4,123.5,102.2
120,Klay Thompson,Gol,SG,27,21,37.8,78.8,21.5,0.08,31,0.871,185,0.497,157,0.427,0.563,0.579,19.6,4.1,6,1.8,7,0.76,0.29,1.48,5.6,93.8,103.6
121,Kyle Anderson,San,SG,24,5,14.7,30.6,15.1,0.121,4,0.75,16,0.75,4,0,0.6,0.62,5.4,2.6,9.8,0.6,6.3,1.2,0.2,0.6,5.5,117.2,98.6
122,Kyle Korver,Cle,SG,36,22,22.9,47.8,14.6,0.085,22,0.864,32,0.438,109,0.413,0.578,0.604,8.3,2.4,5.9,0.9,5.3,0.41,0.41,0.64,4.6,99.6,106.1
123,Kyle Lowry,Tor,PG,31,10,36.1,75.2,19.9,0.19,32,0.813,55,0.582,63,0.444,0.627,0.659,17.4,4.3,6.7,8.5,34.6,1.5,0,3.1,9.5,118.6,109.2
124,LaMarcus Aldridge,San,PF,32,5,35.3,73.5,27.2,0.084,42,0.976,75,0.453,5,0.6,0.481,0.599,23.6,9.2,14.5,2.4,11.4,0.6,0.4,1.8,9.1,121,109.5
125,Lance Stephenson,Ind,SG,27,7,21.3,44.5,23.4,0.115,9,0.556,39,0.564,26,0.308,0.523,0.529,10.4,2.7,7.2,2.9,20.8,0.29,0.14,1.29,8.1,104.1,95.2
126,Larry Nance Jr.,Cle,PF,25,20,15.4,32,12.5,0.14,31,0.452,59,0.695,1,0,0.683,0.652,4.8,4.5,16.6,0.9,8.5,0.8,0.7,0.6,7,119.3,98.2
127,LeBron James,Cle,SF,33,22,41.9,87.3,33.8,0.135,213,0.746,396,0.596,114,0.342,0.577,0.619,34,9.1,12.4,9,41,1.36,1.05,4.27,13.4,106.9,106.2
128,Lorenzo Brown,Tor,G,27,4,7.2,15,18.1,0.084,2,0.5,5,0.2,5,0.4,0.4,0.414,2.3,1.5,11.8,0.5,9.3,0,0.25,0.25,6.7,87.3,113
129,Luc Mbah a Moute,Hou,PF,31,9,16.6,34.6,13.4,0.133,7,0.571,21,0.286,15,0.2,0.292,0.32,2.8,2.4,8.3,0.3,2.7,0.67,0.44,0.67,3,58.8,105.4
